DATE,VALUE
1955-01-01,0.122873916655775
1955-04-01,0.122705763746691
1955-07-01,0.122797483515282
1955-10-01,0.123164362589646
1956-01-01,0.123179649217745
1956-04-01,0.123989840506966
1956-07-01,0.125273917267240
1956-10-01,0.126343981234135
1957-01-01,0.127383471944834
1957-04-01,0.128468822539827
1957-07-01,0.129615319647215
1957-10-01,0.130242071399254
1958-01-01,0.131786020837203
1958-04-01,0.132672645266916
1958-07-01,0.132596212126423
1958-10-01,0.132733791779310
1959-01-01,0.132963091200788
1959-04-01,0.133192390622265
1959-07-01,0.133880288886698
1959-10-01,0.134690480175918
1960-01-01,0.134812773200707
1960-04-01,0.135622964489927
1960-07-01,0.135699397630420
1960-10-01,0.136570735432034
1961-01-01,0.136845894737808
1961-04-01,0.136800034853512
1961-07-01,0.137335066836960
1961-10-01,0.137533793002240
1962-01-01,0.138068824985688
1962-04-01,0.138588570341037
1962-07-01,0.138986022671598
1962-10-01,0.139322328489765
1963-01-01,0.139765640704622
1963-04-01,0.140025513382296
1963-07-01,0.140881564555813
1963-10-01,0.141263730258275
1964-01-01,0.141844622126018
1964-04-01,0.142073921547496
1964-07-01,0.142394940737565
1964-10-01,0.143052265745800
1965-01-01,0.143495577960657
1965-04-01,0.144412775646567
1965-07-01,0.144840801233325
1965-10-01,0.145605132638250
1966-01-01,0.146965642539017
1966-04-01,0.148295579183587
1966-07-01,0.149579655943861
1966-10-01,0.150802586191742
1967-01-01,0.151184751894204
1967-04-01,0.152101949580115
1967-07-01,0.153630612389965
1967-10-01,0.155312141480800
1968-01-01,0.156840804290651
1968-04-01,0.158369467100501
1968-07-01,0.160509595034292
1968-10-01,0.162496856687097
1969-01-01,0.164484118339903
1969-04-01,0.167082845116648
1969-07-01,0.169375839331424
1969-10-01,0.171974566108170
1970-01-01,0.174726159165900
1970-04-01,0.177172019661661
1970-07-01,0.179006415033482
1970-10-01,0.181605141810227
1971-01-01,0.183133804620078
1971-04-01,0.184815333710913
1971-07-01,0.186649729082734
1971-10-01,0.188025525611599
1972-01-01,0.189554188421449
1972-04-01,0.190777118669330
1972-07-01,0.192305781479180
1972-10-01,0.194293043131985
1973-01-01,0.197350368751686
1973-04-01,0.201477758338282
1973-07-01,0.205452281643893
1973-10-01,0.210649735197385
1974-01-01,0.216917252717771
1974-04-01,0.222726171395203
1974-07-01,0.228993688915589
1974-10-01,0.236025537840901
1975-01-01,0.241070125113408
1975-04-01,0.243974584452123
1975-07-01,0.248866305443645
1975-10-01,0.253452293873196
1976-01-01,0.256356753211912
1976-04-01,0.258649747426687
1976-07-01,0.262777137013283
1976-10-01,0.266598794037909
1977-01-01,0.271490515029431
1977-04-01,0.276229369739967
1977-07-01,0.280051026764593
1977-10-01,0.284178416351189
1978-01-01,0.289070137342710
1978-04-01,0.295643387425067
1978-07-01,0.302522370069394
1978-10-01,0.309554218994705
1979-01-01,0.317350399324942
1979-04-01,0.327439573869955
1979-07-01,0.337987347257923
1979-10-01,0.348687986926876
1980-01-01,0.362445952215529
1980-04-01,0.374675254694332
1980-07-01,0.381707103619644
1980-10-01,0.392407743288597
1981-01-01,0.403261249238535
1981-04-01,0.411668894692712
1981-07-01,0.423133865766590
1981-10-01,0.430012848410917
1982-01-01,0.433834505435543
1982-04-01,0.440102022955929
1982-07-01,0.447745337005181
1982-10-01,0.449121133534047
1983-01-01,0.449426866096017
1983-04-01,0.454624319649508
1983-07-01,0.459057441798074
1983-10-01,0.463643430227625
1984-01-01,0.470216680309982
1984-04-01,0.474649802458548
1984-07-01,0.478777192045144
1984-10-01,0.482904581631740
1985-01-01,0.487337703780307
1985-04-01,0.491770825928873
1985-07-01,0.494828151548574
1985-10-01,0.499872738821080
1986-01-01,0.502471465597826
1986-04-01,0.500025605102065
1986-07-01,0.503082930721766
1986-10-01,0.506598855184421
1987-01-01,0.512713506423823
1987-04-01,0.518522425101255
1987-07-01,0.524025611216716
1987-10-01,0.528917332208237
1988-01-01,0.533044721794834
1988-04-01,0.539159373034235
1988-07-01,0.545732623116592
1988-10-01,0.551694408075008
1989-01-01,0.557961925595395
1989-04-01,0.566981036173512
1989-07-01,0.571414158322078
1989-10-01,0.577223076999510
1990-01-01,0.587159385263538
1990-04-01,0.592968303940969
1990-07-01,0.603210344766967
1990-10-01,0.613452385592964
1991-01-01,0.618038374022515
1991-04-01,0.621707164766157
1991-07-01,0.626446019476693
1991-10-01,0.631643473030184
1992-01-01,0.635923728897765
1992-04-01,0.640815449889287
1992-07-01,0.645707170880808
1992-10-01,0.651363223277254
1993-01-01,0.656102077987791
1993-04-01,0.660840932698327
1993-07-01,0.663898258318028
1993-10-01,0.669401444433489
1994-01-01,0.672764502615160
1994-04-01,0.676586159639786
1994-07-01,0.682853677160172
1994-10-01,0.686828200465783
1995-01-01,0.691872787738290
1995-04-01,0.697528840134736
1995-07-01,0.701044764597392
1995-10-01,0.704866421622018
1996-01-01,0.711133939142405
1996-04-01,0.717248590381806
1996-07-01,0.721375979968402
1996-10-01,0.727643497488789
1997-01-01,0.732076619637355
1997-04-01,0.733758148728191
1997-07-01,0.737426939471832
1997-10-01,0.741401462777443
1998-01-01,0.742930125587293
1998-04-01,0.745375986083054
1998-07-01,0.749197643107680
1998-10-01,0.752713567570336
1999-01-01,0.755465160628066
1999-04-01,0.761121213024513
1999-07-01,0.766777265420959
1999-10-01,0.772433317817406
2000-01-01,0.780076631866658
2000-04-01,0.786191283106059
2000-07-01,0.793375998312356
2000-10-01,0.799032050708803
2001-01-01,0.806675364758055
2001-04-01,0.812331417154501
