"SA51 Disposable Personal Income Summary: Disposable Personal Income, Population, and Per Capita Disposable Personal Income"
"Per capita disposable personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"13000","Georgia",935,926,1030,1155,1214,1269,1255,1369,1437,1456,1505,1572,1595,1643,1725,1836,1962,2124,2303,2495,2676,2881,3144,3430,3720,4144,4462,4853,5268,5693,6328,6861,7539,8366,8986,9712,10853,11567,12390,12998,14003,14811,15592,16108,17085,17658,18529,19481,20428,21098,22523,23435,24747,25645,26516,27329,28348,29404,30483,31460,31949,31340,31280,32926,33560,33539,34688,35880
"15000","Hawaii","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2206,2328,2440,2618,2810,3082,3266,3469,3811,4258,4839,5137,5408,5830,6530,7130,7462,7830,8511,9289,10405,11130,11770,12739,13472,14125,14797,15325,16632,18152,19467,20061,21661,22222,22450,22889,22624,23202,23380,24140,25349,26001,27415,28641,30430,31701,33620,35525,37190,37542,38090,38989,40417,39800,41309,42645
"16000","Idaho",1252,1202,1257,1391,1517,1444,1461,1500,1599,1676,1681,1745,1740,1821,1930,1992,2093,2371,2381,2525,2656,3001,3293,3495,3889,4355,4916,5181,5624,5945,6621,7077,7841,8439,8788,9514,10112,10551,10895,11472,12395,13414,14217,14550,15462,16430,17017,17769,18456,18803,20068,20910,22134,23010,23932,24659,26309,26783,28480,29341,29508,28896,29497,30594,31739,32243,33148,33646
"17000","Illinois",1636,1545,1682,1808,1845,1956,1959,2059,2195,2259,2245,2357,2391,2482,2572,2649,2822,3021,3206,3361,3545,3773,4002,4333,4619,5178,5630,6221,6649,7259,7967,8682,9412,10401,11219,11803,13064,13717,14469,15150,16430,17348,18359,18674,20140,20546,21372,22467,23570,24527,25623,26398,28172,29057,29991,30866,32310,33380,35385,36988,38191,37506,37857,39089,40557,40493,41334,42583
"18000","Indiana",1336,1257,1417,1558,1601,1751,1644,1728,1815,1841,1839,1932,1990,2039,2167,2232,2372,2584,2720,2811,3002,3233,3363,3664,3931,4523,4743,5216,5709,6256,6898,7529,8132,8893,9302,9851,10970,11535,12211,12871,13735,14814,15555,15879,17110,17797,18657,19275,20116,20891,22349,23133,24633,25120,25684,26453,27697,28018,29350,30050,31251,30639,31224,32668,34296,34287,35394,36471
"19000","Iowa",1514,1266,1439,1514,1594,1518,1669,1553,1629,1799,1827,1862,1873,1994,2083,2220,2346,2599,2782,2797,2979,3280,3504,3686,4049,4887,4930,5592,5833,6412,7406,7855,8339,9462,9911,10282,11636,12172,12786,13377,13752,14901,15618,15918,17056,16949,18431,19055,20692,21408,22333,22813,24393,25164,26287,27029,29397,29805,31165,32935,35357,34911,35299,38069,39203,39235,40237,39915
"20000","Kansas",1233,1219,1376,1477,1683,1602,1678,1641,1707,1791,1948,1951,1990,2052,2110,2163,2330,2486,2635,2757,2950,3230,3511,3868,4254,4812,5139,5668,6082,6533,7159,8041,8743,9745,10543,11161,12298,12896,13598,14030,14667,15319,16285,16818,18002,18612,19243,19780,20878,21851,23085,23811,25096,26139,26704,27816,29008,30044,32056,33702,36343,35379,35545,38119,39339,39601,40010,40640
"21000","Kentucky",937,888,936,1083,1142,1207,1199,1250,1322,1358,1422,1475,1498,1597,1669,1748,1815,1958,2113,2278,2446,2666,2890,3109,3354,3768,4108,4508,4923,5407,5938,6603,7181,7928,8444,8793,9906,10299,10613,11158,12197,13027,13736,14467,15427,15810,16418,16969,17822,18666,19598,20307,21877,22548,23346,23971,25330,26174,27439,28262,29425,29423,30000,31223,32438,32334,33581,34865
"22000","Louisiana",942,1011,1059,1136,1189,1254,1254,1302,1397,1502,1531,1554,1567,1617,1677,1763,1866,1995,2142,2333,2517,2639,2872,3082,3302,3668,4096,4578,5022,5501,6162,6833,7676,8654,9291,9701,10365,10759,10911,11088,11900,12667,13730,14392,15360,16019,16925,17587,18099,18837,19637,20023,21054,22424,23286,24093,25319,26943,30188,32261,33968,33410,34280,35278,36957,36970,37965,38954
"23000","Maine",1171,1128,1138,1241,1336,1352,1376,1510,1571,1623,1698,1753,1808,1796,1863,1936,2106,2268,2403,2496,2654,2894,3198,3419,3655,4022,4413,4747,5318,5705,6213,6806,7619,8301,8897,9593,10594,11298,12129,12916,14026,15082,15584,15872,16670,17171,17822,18618,19479,20307,21415,22329,23623,24729,25946,27362,28753,28976,30439,31539,32800,33385,33805,34831,35791,35489,36521,37544
"24000","Maryland",1390,1393,1539,1659,1763,1851,1815,1909,2018,2108,2071,2109,2179,2289,2379,2448,2628,2770,2938,3139,3326,3751,4176,4571,4864,5345,5755,6307,6824,7292,8061,8777,9803,10684,11606,12529,13700,14790,15727,16468,17954,18922,19799,20398,21291,21912,22613,23266,24012,24740,26565,27904,29883,31195,32682,34111,36316,37593,39723,40977,42665,43217,43990,45327,46554,45560,46900,48287
"25000","Massachusetts",1385,1372,1540,1654,1695,1752,1771,1876,1995,2089,2103,2185,2238,2345,2446,2504,2664,2809,2981,3197,3424,3646,3964,4268,4517,4911,5297,5811,6205,6731,7413,8165,9145,10055,11145,12113,13634,14571,15580,16692,18472,19269,19827,20302,21377,22051,22932,23923,25019,26141,27251,28671,31002,32817,34166,35392,37076,38326,41030,42194,44003,44323,45097,46679,49064,47895,49522,50993
