"SA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"45000","South Carolina",267,239,203,156,172,207,228,256,271,248,275,314,415,580,675,753,772,792,803,929,888,946,1162,1243,1280,1216,1278,1313,1344,1374,1455,1500,1563,1665,1735,1852,2031,2258,2422,2659,2955,3219,3442,3783,4197,4638,4949,5450,5860,6507,7183,7922,8789,9262,9983,10993,11666,12317,13055,14058,15108,16018,16380,17213,17880,18753,19629,20614,21574,22828,23715,25143,25859,26263,26903,28135,29402,31183,32443,33449,32499,32853,34220,35461,35472,36677,38041
"46000","South Dakota",415,357,242,189,136,189,305,247,321,317,341,357,470,755,853,976,1083,1121,1254,1506,1124,1300,1523,1359,1484,1507,1388,1469,1733,1809,1619,1938,1922,2152,2078,2058,2346,2570,2657,2855,3114,3394,3691,4223,5317,5326,5871,5757,6510,7493,8243,8278,9640,10185,10572,11891,12196,12782,13454,13980,15094,16516,17044,18226,18813,20021,20238,22237,22644,24416,25631,27267,28440,28538,30941,32564,33443,33898,37257,40095,38661,40204,44241,44792,44772,45279,45002
"47000","Tennessee",373,321,273,194,201,242,263,302,332,298,310,339,440,570,745,879,926,881,897,972,962,1043,1143,1203,1304,1305,1355,1454,1513,1559,1647,1666,1741,1821,1908,2023,2188,2395,2538,2814,3032,3262,3537,3904,4377,4771,5135,5654,6161,6929,7602,8260,9138,9678,10301,11396,12138,12933,13801,14882,15876,16740,17334,18664,19530,20395,21508,22341,23308,25316,26119,27503,28147,28613,29454,30925,31695,33072,34227,35307,34468,35601,37323,39137,39312,40457,42069
"48000","Texas",473,407,345,262,254,291,325,372,418,404,417,438,538,742,970,1068,1082,1061,1154,1220,1318,1392,1524,1607,1643,1683,1754,1840,1916,1937,2013,2020,2093,2146,2217,2350,2503,2709,2928,3193,3481,3768,3991,4335,4816,5320,5912,6486,7076,7984,8943,9948,11375,12023,12448,13430,14212,14295,14530,15375,16307,17366,17817,18880,19535,20206,21177,22319,23825,25500,26447,28365,29717,29327,30010,31077,33330,35554,36992,39892,37037,38282,41235,43505,43807,45669,46745
"49000","Utah",548,494,372,304,297,314,391,463,447,446,460,484,601,907,1165,1078,1153,1122,1197,1282,1289,1385,1594,1651,1658,1631,1728,1822,1935,1959,2042,2111,2173,2307,2360,2473,2577,2702,2825,3005,3231,3535,3833,4154,4483,4891,5302,5810,6349,7037,7661,8266,9056,9572,10004,10847,11492,11918,12360,13053,13894,14866,15521,16292,17021,17879,18981,20126,21231,22416,23386,24781,25712,25960,26316,27545,29398,31786,33643,34512,32428,32614,34415,35995,36542,37664,39045
"50000","Vermont",630,572,471,362,337,381,414,469,485,457,491,518,650,782,946,962,1047,1097,1132,1204,1129,1171,1346,1392,1444,1474,1543,1679,1747,1762,1859,1954,2031,2115,2171,2314,2506,2786,2944,3188,3441,3696,3930,4253,4611,4939,5322,5853,6259,7088,7862,8720,9766,10492,11114,12187,13088,14005,15060,16183,17648,18069,18266,19411,19971,20764,21702,22684,23763,25389,26700,28556,29968,30567,31779,33652,34347,36597,38460,40111,39268,40066,42735,44287,44839,46428,47864
"51000","Virginia",435,387,371,286,286,323,354,394,426,394,431,480,614,847,887,938,987,1051,1052,1204,1187,1330,1516,1618,1651,1681,1759,1835,1873,1901,2012,2058,2135,2257,2372,2570,2741,2937,3176,3474,3873,4161,4509,4925,5421,5923,6410,6967,7611,8509,9407,10537,11661,12497,13345,14642,15666,16620,17581,18906,20156,20838,21432,22430,23247,24138,25028,25962,27351,28917,30479,32465,33711,34154,35745,37753,40036,42386,44422,45618,44458,45412,47689,49320,48956,50345,52136
"53000","Washington",740,657,534,402,376,442,491,570,601,583,617,667,885,1233,1507,1557,1451,1433,1532,1667,1646,1786,1945,2051,2152,2166,2202,2257,2352,2359,2460,2518,2622,2771,2824,2952,3177,3485,3676,3971,4244,4379,4571,4929,5501,6116,6783,7376,8009,9051,10065,11022,12066,12660,13409,14248,14939,15803,16480,17526,18954,20162,21052,22139,22745,23495,24358,25782,27297,29432,31077,32882,33241,33629,34663,36787,37754,40204,42954,44460,42248,42821,44800,47344,47468,49610,51146
"54000","West Virginia",458,407,354,256,258,313,338,391,419,371,390,409,500,617,748,829,900,932,1036,1109,1019,1054,1183,1249,1279,1229,1324,1485,1604,1594,1640,1667,1713,1806,1899,2024,2177,2324,2470,2626,2828,3148,3408,3717,4045,4461,4969,5427,5979,6603,7295,7973,8680,9217,9485,10292,10835,11247,11683,12649,13577,14571,15124,16229,16726,17410,17953,18692,19514,20330,20873,22110,23306,24206,24669,25498,26360,28319,29316,31397,31429,32104,34211,35374,35163,36132,37047
"55000","Wisconsin",670,584,469,362,333,380,461,518,551,508,515,548,673,872,1065,1116,1191,1215,1299,1432,1386,1509,1744,1808,1845,1781,1885,2001,2070,2081,2227,2260,2306,2413,2457,2614,2787,3017,3164,3427,3749,3979,4239,4596,5104,5583,6079,6647,7381,8214,9136,9986,10858,11441,12062,13228,13910,14657,15399,16204,17559,18379,18861,20136,20933,22015,22909,24027,25309,26896,27807,29382,30473,31060,31905,33350,34311,36268,37674,38980,38320,38815,40837,42463,42737,44186,45617
"56000","Wyoming",672,582,477,375,372,414,498,552,606,560,586,602,792,974,1171,1242,1274,1365,1512,1631,1693,1778,2009,1973,1993,1923,1990,2100,2216,2239,2329,2360,2440,2555,2592,2649,2792,2941,3157,3349,3683,4017,4381,4829,5533,6276,6815,7250,8133,9280,10344,11496,12672,12940,12701,13390,14141,14166,14161,14816,16472,17989,18649,19457,20250,20868,21626,22440,23967,25430,27085,28959,30736,31442,33400,35692,39164,44186,45505,48934,43153,44846,49140,52154,51791,54584,55303
"91000","New England",876,805,718,573,534,587,625,699,724,663,714,768,923,1132,1314,1343,1367,1408,1467,1521,1478,1644,1834,1934,2000,1987,2122,2255,2357,2338,2441,2521,2614,2738,2810,2954,3128,3368,3618,3892,4269,4547,4795,5156,5589,6056,6516,7061,7701,8527,9501,10716,11914,12939,13896,15472,16591,17795,19182,20900,22218,22764,23056,24360,25152,26092,27394,28763,30401,32260,33853,36904,38222,38347,39328,41435,43157,46271,48568,49977,48585,49994,52463,54796,54582,56798,58863
"92000","Mideast",972,890,764,593,545,602,646,732,767,710,750,802,933,1124,1344,1464,1529,1543,1589,1656,1626,1773,1939,2021,2114,2100,2203,2343,2451,2462,2573,2658,2730,2855,2944,3117,3295,3522,3769,4104,4399,4711,5014,5406,5857,6378,6908,7434,8104,8930,9836,10939,12133,13075,13943,15294,16339,17327,18438,20070,21605,22823,23093,24288,24889,25609,26829,28117,29572,31108,32464,34789,35887,36301,37270,39251,40992,43804,46309,47793,46528,47781,50038,51790,51819,53749,55667
"93000","Great Lakes",796,678,564,410,377,450,519,594,658,574,623,668,819,1009,1255,1327,1362,1366,1469,1604,1520,1681,1887,1962,2097,2020,2139,2250,2305,2262,2386,2454,2492,2620,2711,2874,3094,3319,3456,3741,4058,4229,4515,4909,5467,5926,6392,7013,7751,8569,9418,10185,11124,11681,12342,13616,14457,15228,15961,17046,18278,19207,19486,20732,21476,22615,23653,24796,26038,27505,28469,30145,30815,31116,31800,33072,34113,35897,37318,38453,36964,37745,39922,41493,41900,43274,44815
"94000","Plains",565,504,416,312,277,309,403,414,476,438,456,480,597,812,992,1062,1133,1188,1261,1459,1324,1469,1601,1693,1707,1754,1758,1828,1948,2062,2087,2160,2220,2356,2442,2534,2776,2974,3110,3370,3661,3931,4200,4614,5358,5657,6191,6581,7236,8152,8954,9612,10835,11527,12062,13383,14114,14788,15543,16199,17407,18332,18817,19989,20447,21617,22454,23961,24992,26477,27382,29138,30069,30541,31748,33293,34293,36072,38084,40216,38621,39488,42192,44105,44409,45665,46515
"95000","Southeast",363,310,271,203,205,246,268,307,331,303,321,345,447,611,751,839,881,877,905,1012,984,1067,1206,1282,1343,1338,1429,1518,1568,1616,1699,1725,1789,1879,1977,2104,2259,2454,2638,2892,3198,3468,3738,4108,4567,4987,5373,5874,6415,7178,7927,8776,9783,10368,11069,12147,12933,13620,14367,15463,16654,17468,17978,19003,19757,20605,21591,22556,23561,24975,25882,27393,28360,28767,29615,31240,32897,34892,36272,37079,35697,36504,38190,39476,39466,40792,42252
"96000","Southwest",470,398,333,249,246,282,320,362,409,390,401,423,517,726,931,1039,1061,1039,1126,1211,1286,1340,1489,1581,1623,1648,1718,1805,1881,1928,2003,2023,2087,2140,2204,2334,2482,2673,2878,3148,3449,3748,3989,4332,4804,5284,5820,6359,6938,7822,8777,9771,11124,11762,12169,13146,13915,14111,14395,15204,16123,17062,17506,18448,19098,19810,20722,21784,23114,24657,25527,27389,28706,28564,29272,30506,32684,34939,36272,38652,36016,37057,39703,41741,41966,43699,44774
"97000","Rocky Mountain",589,532,420,330,313,366,437,503,501,487,501,529,655,917,1105,1117,1194,1229,1350,1455,1413,1529,1758,1831,1789,1767,1856,1952,2063,2106,2177,2237,2294,2428,2479,2570,2743,2890,3041,3245,3577,3927,4238,4647,5156,5681,6125,6617,7178,8074,8870,9832,10941,11536,12063,12935,13519,13946,14417,15238,16477,17433,18074,19037,19977,20790,21913,23024,24125,25927,27241,29368,30409,30492,31076,32468,34281,36550,38108,39254,37127,37627,39862,41754,42129,43787,45126
"98000","Far West",905,812,683,526,495,556,610,714,738,717,736,796,986,1292,1556,1584,1569,1630,1674,1769,1751,1886,2099,2230,2279,2260,2387,2492,2568,2592,2729,2816,2884,3009,3108,3274,3434,3684,3894,4219,4566,4849,5095,5521,6007,6621,7232,7878,8558,9537,10588,11705,12839,13437,14230,15430,16286,17078,17923,19042,20136,21104,21536,22423,22849,23481,24497,25754,27003,28854,30307,32767,33410,33654,34720,36605,38296,40784,42410,43167,41029,41751,43976,46524,46897,48775,51124
"Legend / Footnotes:"
"2/ Per capita personal income is total personal income divided by total midyear population."
"Geographic Note-- Estimates prior to 1950 are not available for Alaska and Hawaii."
"Note-- All dollar estimates are in current dollars (not adjusted for inflation)."
"(NA) Data not available for this year."
"Last updated: March 24, 2016-- new estimates for 2015. In 2015 details may not add to totals because of rounding."
