"RegionName","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04"
"Washington",131700,133000,134100,134900,135900,136800,138100,139800,140800,141200,141100,141000,141700,142900,143600,144300,145300,146500,147600,149100,150300,150800,150800,150700,151300,152700,154000,154900,155600,156200,157300,159200,160400,160600,160600,160500,160700,161900,162900,163400,164200,165000,166000,167100,167900,168400,169000,169200,169300,170000,170600,171400,172500,173600,174200,174800,175300,175800,176300,177200,178000,178400,179200,180600,181600,182200,183300,184300,184800,185500,186300,187400,188800,190200,191700,193300,194800,196200,197800,199400,201700,203900,205700,207700,210100,212400,214800,217700,220700,224000,227000,229800,233000,236900,240700,244900,249600,254200,258200,262100,266100,270100,273600,276900,280000,283100,285900,288400,290500,293000,295200,296500,297600,298900,301000,302700,303400,303600,304100,304100,303600,302400,300500,298500,296500,294900,292700,290500,288400,286500,284500,282400,279900,277700,275200,271000,265900,261900,260100,258800,256000,253300,252500,252100,251400,251100,250800,251200,251700,249900,247600,246200,245700,245100,244300,241800,238800,236100,234000,232800,232500,231100,228500,226100,224500,222800,220900,219500,218100,216800,215400,214100,213100,212700,212500,212200,212100,212900,213900,215300,215700,216000,216900,218800,219900,221100,222000,223800,227500,231400
"Massachusetts",139100,140100,141100,142100,143400,144700,146500,148800,149700,149000,148900,150500,152400,153900,155000,155800,157200,159100,161700,164600,166200,165900,166600,169300,172200,174300,176100,177900,180100,182400,185200,188600,191200,192000,193500,197100,200600,202900,205400,208700,211900,215300,219200,223500,226200,227300,228500,231200,234300,237800,240700,242900,244300,244800,246500,249600,252600,255800,259700,263600,267700,271500,275300,278700,281800,284200,285700,286900,288500,290500,291900,293500,295800,298800,302200,305400,307800,310000,313000,315900,318500,321200,324300,327000,329300,331400,333700,335800,338500,342100,345300,347300,348600,349600,350500,351600,352600,352900,352600,352300,351900,351200,350100,349800,349700,348800,346300,342500,338800,336100,334100,332300,331000,330500,330900,331400,331500,330800,329200,327700,326800,325600,323400,321400,319700,317700,314500,311800,310000,308200,306200,304200,302200,300500,299300,297400,294600,291000,289200,288400,286700,285000,286600,289300,291200,291900,292500,293400,294400,294600,294200,293700,293800,293800,292600,291200,290500,289300,287600,286100,285700,285900,284800,282400,280800,281400,281900,281300,279900,278700,277100,275900,275800,275800,275600,275900,277100,278300,279400,280300,280100,280200,281700,283800,285700,287100,287600,288200,289100,289500
"Indiana",75400,74700,75000,75300,75200,74500,73300,72800,74200,75500,76200,77100,78200,78900,78900,78600,78700,79100,79100,78700,77800,77900,78500,80300,82200,83200,81900,81200,81900,82600,83000,83100,83300,82800,82500,83400,84700,84500,83700,83900,84900,87300,89600,91100,91600,92500,93600,93700,93200,93000,93600,94000,94500,94300,94200,94300,95100,95500,95600,95700,96000,96700,97700,97800,97300,97400,97400,97600,97800,98000,97900,98200,99200,100200,100800,101300,101300,101200,101900,102500,103000,103900,104600,104700,104600,105200,105800,106100,106400,107400,108300,108900,108300,107800,108000,108300,108400,108700,108700,108700,109100,109900,110800,110900,110200,109600,109400,109200,109400,110000,110700,111500,112000,112600,114000,114700,114000,112600,112300,113000,113700,113000,112400,111900,111500,110600,108300,106200,106300,107400,107600,107200,106700,105900,105200,104100,102100,99000,97300,98200,99700,100900,102300,103000,103100,103400,103500,104300,105400,106300,106000,105000,104400,104700,104900,104000,102400,101000,100800,101000,102000,102600,102400,102300,102700,102600,102200,102100,102300,102200,101700,100900,100300,99700,98900,100800,104500,106200,105300,105200,106000,107800,109700,111600,113200,114700,116300,116100,115600,115800
"Arizona",95700,96100,96600,97100,97700,98400,99500,100400,100600,101000,101800,102400,102900,103400,103800,104400,105100,106000,107000,108000,108700,109500,110300,110900,111300,111700,112500,113400,114000,114500,115200,116000,116800,117500,118100,118400,118800,119400,119900,120200,120800,121400,122200,123200,124100,124600,125200,125600,125800,126500,127500,128300,128800,129200,129600,130500,131100,131600,132200,133100,133700,134300,135100,136000,137100,138200,139100,139600,140300,140800,141500,142700,144400,145600,146400,147500,148900,150300,151800,152900,153900,155300,157100,158800,161100,164200,168100,172300,176700,181700,186800,192400,199400,207600,216300,225800,234600,242200,248200,252600,256000,259200,262500,265400,267000,266900,266000,264200,261900,258800,255400,253000,252200,250900,249300,248600,248100,246700,244200,241300,239100,236400,232600,228400,225100,222900,220300,216400,212400,209400,206400,203000,199200,196000,192700,188200,183100,178600,175200,171800,167700,163900,161600,159800,158200,157300,157100,158000,158200,156100,153600,152800,152100,150900,149300,147100,144600,142600,141900,140500,138500,137100,136400,134800,133800,132800,131600,130400,129500,129200,129200,129500,130400,132000,133100,134000,135000,136200,138100,140900,143100,144900,147400,150200,152400,153900,155000,156900,159900,162900
"Tennessee",65300,65700,66600,67700,67900,67800,68300,69100,69600,69800,70000,70300,70600,71500,72200,72600,72900,73300,74000,74600,75100,75600,76000,76300,76800,77100,77400,78000,78600,78600,78700,79200,79500,79600,80000,80400,80600,80700,80600,80500,80800,81300,81800,82100,82500,82800,82800,82800,83000,83500,84000,84600,85300,85700,85900,86300,86900,87400,87800,88200,88600,89100,89500,89800,90000,90300,90600,90900,91200,91700,92200,92600,93100,93600,93900,94400,95000,95300,95800,96400,96900,97500,98200,98800,99300,99800,100200,100500,100700,101700,102900,103500,103900,104300,104800,105400,106100,106900,108200,109500,110900,112100,113600,114800,115300,115500,116200,117100,118100,118800,119500,120100,120500,121000,122100,122900,123100,122900,122800,122700,123100,123400,123200,122900,123300,122900,120900,119400,119700,120100,119900,119500,118900,118700,118400,117200,115900,116000,116900,117500,117600,118000,118500,118800,119000,119600,120000,120100,120300,119600,118300,117700,117800,118200,119000,118900,117500,115900,115400,115700,115500,114600,114200,114100,113700,113300,113200,113300,113600,113700,113200,113100,113200,112900,112000,112000,112800,113700,113800,114200,114000,113400,113600,114200,114400,114800,115000,115100,115500,115700
"Missouri",,77700,78300,78800,79200,80000,80600,80700,81400,82300,82700,82600,83000,83800,84700,85600,86400,87700,88700,89200,89400,90000,90300,90800,91500,92000,92200,92400,92900,93900,94800,94900,95200,96300,97100,97700,98500,99400,99900,100300,101000,102000,102800,103500,104200,104600,105200,105800,106600,107400,108100,108700,109600,110800,111900,112200,112600,113000,113100,114000,115000,115500,116400,117400,117500,117900,119300,120700,121400,122200,123400,124600,125700,126600,127900,129100,130100,128100,125200,124200,125300,126100,127200,127800,128300,129000,129200,129600,131200,133900,136200,137600,137400,136900,136300,136400,136500,137000,138100,139100,140300,141300,141700,141700,142300,142700,142600,142800,143100,143100,142900,143100,143200,143200,143700,144600,145300,145200,144300,142900,142800,143400,143000,142100,141400,141700,141100,138600,135700,135000,135000,134900,133800,133200,133100,131700,129400,128400,129300,131700,134400,135100,135300,136100,136600,136200,136100,136000,135600,134800,134000,133400,133600,134900,135800,134900,133000,131300,130500,130200,130200,129100,128200,127400,126100,125500,125800,125900,125500,124600,123600,123200,123200,123700,124400,124000,123100,123200,123900,124300,124500,125000,125500,127000,127400,126800,125500,126900,128700,129700
"Maryland",120000,120400,120800,121500,121300,120700,121300,122500,122800,122600,122500,122300,122500,122800,122900,123200,124000,124900,126000,126700,127200,127400,127500,127900,128300,128400,128700,129000,129800,130900,132100,133500,134900,135700,135800,135700,136000,136700,137300,138000,139000,139900,140900,141800,142900,143800,144200,144800,145700,146600,147300,148600,150300,152000,153100,154100,155400,156900,158600,160900,163200,165000,166500,168700,171100,173500,175300,177400,179200,181200,183900,186900,189500,192500,195900,198400,200400,203500,207400,210700,214100,218700,223700,228300,233200,238100,242600,246500,250900,256100,261500,265900,270700,276100,281000,285700,290900,296200,301100,305800,309700,313200,315600,317400,318700,320200,321000,320900,319900,318800,318300,318600,318700,319100,320000,320800,320200,319100,318300,317000,313900,312000,312100,311400,308800,303900,299400,297800,296400,292900,289400,286400,283200,280000,276700,273500,269700,266300,263900,262800,261500,259000,256000,254600,253900,252800,251900,251400,251700,251200,249600,248400,247600,246800,246100,243900,245100,245300,240700,235800,235600,234100,232700,231600,230500,229900,229700,229500,229100,228200,227000,226000,225100,225200,224400,223000,223100,225000,226000,226100,225000,224300,225700,227800,228500,229100,230400,230800,230200,229700
"Wisconsin",,,,,,,,,,,,,,98100,98200,98800,99300,99500,99700,100300,100600,100600,100500,100000,100600,102900,104500,103900,103800,104100,103300,102500,103700,105100,105400,104900,104700,104900,105700,106700,108000,109300,110600,111900,113000,113800,114300,114600,115000,115300,116100,117600,118300,118000,118800,120200,120900,121500,122700,124000,124700,125200,125800,125800,125300,125700,127200,129300,130600,130800,131000,131100,131000,130600,130300,130700,132200,132700,131500,130300,130100,130300,130600,133200,137700,140400,140500,140700,141400,143400,145100,145100,145000,145600,146500,147200,147200,147300,148500,150000,151100,152300,153600,154600,155000,155000,155100,154800,154900,155200,155800,155800,155600,156000,157300,158500,158700,158800,158400,157400,156500,156200,156600,156900,157500,157200,156200,155800,155900,155400,154800,154400,154000,153600,153000,152600,151800,149900,148900,149600,150100,150100,150800,151100,151000,150800,150600,150800,151200,150900,150800,150800,150400,149800,149400,148000,146200,145000,144600,143600,143100,142700,141700,140600,140500,141200,141700,141400,140700,140300,140100,140100,140000,139200,138000,137700,138600,139700,140200,140600,139700,138900,138800,139100,138300,138300,139000,139500,139400,139500
"Minnesota",,98200,98900,99600,100000,100600,101600,101500,101100,101700,102800,104000,105100,105900,106700,107700,108500,109400,110100,110900,111900,113100,114200,115500,116800,118000,119000,120000,121700,123800,125400,126400,127500,128800,130000,131200,132400,133500,134900,136700,138900,140600,142000,143500,145000,146300,147300,148200,149400,150700,151600,152800,154100,155000,155000,155300,156900,159100,161000,162400,163600,165600,167600,168800,169700,170900,172300,173700,174900,176100,177200,178400,179900,181100,182000,183100,184300,186100,188300,189600,190000,190900,192100,193400,194500,195600,196500,197500,199100,201600,203900,205400,206100,206600,207200,207900,208000,208300,210000,211800,211500,211600,213100,213700,213000,212300,211600,210700,210100,209800,210000,210100,209700,209800,210600,210800,209800,208500,207200,206000,204700,203600,202500,201400,201000,196500,191300,190400,191800,190200,188700,187200,186800,185700,183200,179800,177300,175300,173000,170800,170000,170800,171600,171500,171600,172000,171600,171100,171400,171400,170200,169300,169200,168900,167900,167000,164900,162100,160100,159500,159100,158500,157000,154600,152400,151700,151200,150700,150500,149900,149000,148100,147600,147300,147300,146800,146900,148300,150000,151700,152400,153300,154600,155800,156200,157300,158300,159800,161000,161700
"Colorado",,125900,127300,128100,128800,129800,130200,130800,131600,133000,133900,134300,134900,136000,136900,138000,139400,140600,141400,142400,143900,145600,147200,148800,150100,151500,153300,155000,156400,157900,159600,161200,162900,165100,167100,168800,170900,173600,175500,176800,178600,180600,182400,184000,185500,187100,188500,189100,189600,190200,190700,191400,192100,192300,192500,193100,193900,194700,195300,195900,196600,197100,197600,198300,199000,199400,200100,200600,200800,200900,201300,201500,201600,202100,202900,203400,204000,205100,205900,206100,206400,206800,206800,207400,208400,209100,209500,210400,211500,212900,214300,215200,215500,215900,216500,217200,217700,218200,218700,219500,220300,221400,222300,222500,222100,222000,222100,222200,222900,223700,223800,223400,223000,223400,224200,224300,223800,224000,224300,224000,223500,223900,224100,223400,222600,220600,218000,217000,217500,217300,216600,215700,214900,213200,211500,210100,208700,206900,205900,206400,207000,206700,207000,208200,208900,208800,208700,209700,210100,209600,209200,209400,209000,209100,209200,208000,205900,204600,203600,202800,203000,202700,201800,200700,200000,199500,199400,199500,199300,199000,198700,198800,198800,198700,198500,199200,200700,202200,203700,205400,206400,207800,210200,212100,213000,214500,215800,217200,219600,222300
