,,"All values, costs, and indexes are in current dollars (nominals)",,,,,
"STATE","Date","Home Value","Structure Cost","Land Value","Land Share","Home Price Index","Land Price Index"
"AL","1975Q1",24648,23416,1232,0.05,0.221,0.000
"AL","1975Q2",24970,23721,1248,0.05,0.224,0.000
"AL","1975Q3",25342,24075,1267,0.05,0.227,0.000
"AL","1975Q4",25779,24490,1289,0.05,0.231,0.000
"AL","1976Q1",26343,25026,1317,0.05,0.236,0.000
"AL","1976Q2",26981,25631,1349,0.05,0.242,0.000
"AL","1976Q3",27696,26156,1540,0.0555972981,0.248,0.000
"AL","1976Q4",28492,26674,1818,0.0638073095,0.255,0.000
"AL","1977Q1",29353,27217,2136,0.0727590989,0.263,0.000
"AL","1977Q2",30256,27804,2452,0.0810470953,0.271,0.001
"AL","1977Q3",31160,28398,2762,0.0886287322,0.279,0.001
"AL","1977Q4",32038,28965,3073,0.0959115322,0.287,0.001
"AL","1978Q1",32932,29501,3432,0.1042100888,0.295,0.001
"AL","1978Q2",33887,30014,3874,0.114312861,0.303,0.001
"AL","1978Q3",34903,30555,4348,0.124561881,0.312,0.001
"AL","1978Q4",35877,31171,4707,0.1311849154,0.321,0.001
"AL","1979Q1",36794,31897,4898,0.1331107535,0.329,0.001
"AL","1979Q2",37622,32710,4912,0.1305537061,0.337,0.001
"AL","1979Q3",38364,33571,4793,0.1249266938,0.343,0.001
"AL","1979Q4",39021,34444,4577,0.1172972755,0.349,0.001
"AL","1980Q1",39571,35251,4320,0.1091739315,0.354,0.001
"AL","1980Q2",40193,36022,4171,0.103767542,0.360,0.001
"AL","1980Q3",40879,36743,4136,0.1011710547,0.366,0.001
"AL","1980Q4",41487,37401,4086,0.0984962565,0.371,0.001
"AL","1981Q1",42014,38023,3990,0.094979504,0.376,0.001
"AL","1981Q2",42480,38610,3870,0.0911017809,0.380,0.001
"AL","1981Q3",42853,39212,3641,0.0849631498,0.384,0.001
"AL","1981Q4",43112,39874,3238,0.0751056703,0.386,0.001
"AL","1982Q1",43381,40603,2778,0.0640292214,0.388,0.001
"AL","1982Q2",43764,41369,2395,0.0547210466,0.392,0.001
"AL","1982Q3",44318,42102,2216,0.05,0.397,0.001
"AL","1982Q4",45043,42791,2252,0.05,0.403,0.001
"AL","1983Q1",45803,43512,2290,0.05,0.410,0.001
"AL","1983Q2",46540,44213,2327,0.05,0.417,0.001
"AL","1983Q3",47302,44937,2365,0.05,0.423,0.001
"AL","1983Q4",48088,45684,2404,0.05,0.430,0.001
"AL","1984Q1",48919,46473,2446,0.05,0.438,0.002
"AL","1984Q2",49676,47192,2484,0.05,0.445,0.002
"AL","1984Q3",50368,47850,2518,0.05,0.451,0.002
"AL","1984Q4",50986,48436,2549,0.05,0.456,0.003
"AL","1985Q1",51646,49064,2582,0.05,0.462,0.003
"AL","1985Q2",52429,49808,2621,0.05,0.469,0.004
"AL","1985Q3",53321,50655,2666,0.05,0.477,0.005
"AL","1985Q4",54280,51566,2714,0.05,0.486,0.006
"AL","1986Q1",55295,52530,2765,0.05,0.495,0.007
"AL","1986Q2",56356,53538,2818,0.05,0.504,0.009
"AL","1986Q3",57427,54556,2871,0.05,0.514,0.011
"AL","1986Q4",58462,55539,2923,0.05,0.523,0.015
"AL","1987Q1",59414,56444,2971,0.05,0.532,0.018
"AL","1987Q2",60255,57242,3013,0.05,0.539,0.021
"AL","1987Q3",60986,57937,3049,0.05,0.546,0.025
"AL","1987Q4",61646,58563,3082,0.05,0.552,0.028
"AL","1988Q1",62281,59167,3114,0.05,0.558,0.031
"AL","1988Q2",62843,59700,3142,0.05,0.563,0.034
"AL","1988Q3",63331,60164,3167,0.05,0.567,0.036
"AL","1988Q4",63805,60615,3190,0.05,0.571,0.037
"AL","1989Q1",64346,61129,3217,0.05,0.576,0.040
"AL","1989Q2",64975,61726,3249,0.05,0.582,0.043
"AL","1989Q3",65656,62373,3283,0.05,0.588,0.048
"AL","1989Q4",66319,63003,3316,0.05,0.594,0.053
"AL","1990Q1",66945,63597,3347,0.05,0.599,0.059
"AL","1990Q2",67566,64188,3378,0.05,0.605,0.065
"AL","1990Q3",68128,64722,3406,0.05,0.610,0.072
"AL","1990Q4",68741,65304,3437,0.05,0.615,0.080
"AL","1991Q1",69437,65965,3472,0.05,0.622,0.090
"AL","1991Q2",70215,66704,3511,0.05,0.629,0.102
"AL","1991Q3",71060,67507,3553,0.05,0.636,0.119
"AL","1991Q4",71970,68025,3945,0.0548159328,0.644,0.141
"AL","1992Q1",72946,68248,4698,0.0644062279,0.653,0.168
"AL","1992Q2",73984,68451,5533,0.0747862555,0.662,0.198
"AL","1992Q3",75103,68687,6416,0.0854240468,0.672,0.230
"AL","1992Q4",76275,69007,7269,0.0952936892,0.683,0.261
"AL","1993Q1",77470,69417,8053,0.1039448611,0.693,0.288
"AL","1993Q2",78681,69923,8758,0.1113078821,0.704,0.314
"AL","1993Q3",79918,70450,9469,0.1184772433,0.715,0.339
"AL","1993Q4",81161,70940,10221,0.1259394583,0.727,0.366
"AL","1994Q1",82388,71352,11036,0.1339524412,0.737,0.396
"AL","1994Q2",83574,71728,11846,0.1417446508,0.748,0.426
"AL","1994Q3",84698,72125,12573,0.1484476108,0.758,0.452
"AL","1994Q4",85783,72602,13182,0.1536627622,0.768,0.475
"AL","1995Q1",86854,73232,13622,0.1568378483,0.777,0.493
"AL","1995Q2",87942,73926,14016,0.1593791573,0.787,0.509
"AL","1995Q3",89068,74660,14407,0.1617579667,0.797,0.524
"AL","1995Q4",90219,75392,14827,0.1643428456,0.808,0.540
"AL","1996Q1",91392,76003,15389,0.1683867528,0.818,0.560
"AL","1996Q2",92567,76568,15999,0.1728335588,0.829,0.583
"AL","1996Q3",93706,77047,16659,0.1777835141,0.839,0.608
"AL","1996Q4",94810,77415,17395,0.1834702681,0.849,0.636
"AL","1997Q1",95874,77737,18137,0.1891773128,0.858,0.665
"AL","1997Q2",96911,78024,18887,0.1948903149,0.868,0.694
"AL","1997Q3",97972,78375,19598,0.2000324016,0.877,0.722
"AL","1997Q4",99081,78888,20192,0.2037951955,0.887,0.745
"AL","1998Q1",100277,79645,20633,0.2057556672,0.898,0.764
"AL","1998Q2",101564,80527,21037,0.2071316062,0.909,0.781
"AL","1998Q3",102910,81449,21461,0.2085412587,0.921,0.799
"AL","1998Q4",104270,82305,21965,0.21065478,0.933,0.819
"AL","1999Q1",105597,82954,22643,0.2144307915,0.945,0.846
"AL","1999Q2",106889,83466,23424,0.2191393291,0.957,0.876
"AL","1999Q3",108151,83881,24270,0.2244124474,0.968,0.909
"AL","1999Q4",109388,84237,25150,0.229919847,0.979,0.942
"AL","2000Q1",110578,84573,26005,0.2351720654,0.990,0.972
"AL","2000Q2",111712,84998,26714,0.2391315456,1.000,1.000
"AL","2000Q3",112818,85484,27334,0.2422839348,1.010,1.025
"AL","2000Q4",113938,86057,27881,0.2447028944,1.020,1.048
"AL","2001Q1",115113,86846,28267,0.2455588859,1.030,1.068
"AL","2001Q2",116339,87622,28717,0.2468376329,1.041,1.088
"AL","2001Q3",117608,88464,29144,0.2478068102,1.053,1.106
"AL","2001Q4",118935,89365,29569,0.2486194303,1.065,1.123
"AL","2002Q1",120327,90118,30210,0.2510622168,1.077,1.145
"AL","2002Q2",121798,90896,30902,0.2537145887,1.090,1.172
"AL","2002Q3",123363,91515,31848,0.258165587,1.104,1.209
"AL","2002Q4",125023,91854,33169,0.2653023526,1.119,1.260
"AL","2003Q1",126736,92140,34596,0.2729779667,1.134,1.318
"AL","2003Q2",128506,92352,36154,0.2813389497,1.150,1.379
"AL","2003Q3",130339,92902,37436,0.2872227479,1.167,1.429
"AL","2003Q4",132242,94167,38075,0.2879209257,1.184,1.455
"AL","2004Q1",134312,96271,38041,0.2832261621,1.202,1.454
"AL","2004Q2",136634,99023,37611,0.2752695748,1.223,1.439
"AL","2004Q3",139229,101925,37304,0.2679306613,1.246,1.429
"AL","2004Q4",142081,104504,37577,0.2644745501,1.272,1.441
"AL","2005Q1",145214,106366,38848,0.2675237842,1.300,1.491
"AL","2005Q2",148632,107850,40782,0.2743803389,1.330,1.567
"AL","2005Q3",152334,109359,42975,0.2821106347,1.364,1.654
"AL","2005Q4",156229,111300,44929,0.2875831203,1.398,1.733
"AL","2006Q1",160127,113857,46270,0.2889580378,1.433,1.789
"AL","2006Q2",163828,116732,47097,0.2874753941,1.467,1.824
"AL","2006Q3",167193,119431,47762,0.2856683169,1.497,1.854
"AL","2006Q4",170125,121450,48675,0.2861122904,1.523,1.893
"AL","2007Q1",172520,122589,49931,0.2894210123,1.544,1.948
"AL","2007Q2",174309,123111,51197,0.2937164801,1.560,2.001
"AL","2007Q3",175428,123653,51775,0.2951370342,1.570,2.027
"AL","2007Q4",175915,124824,51091,0.2904289984,1.575,2.004
"AL","2008Q1",175841,127038,48803,0.2775407357,1.574,1.917
"AL","2008Q2",175371,129862,45509,0.2594997213,1.570,1.790
"AL","2008Q3",174720,132691,42030,0.2405536167,1.564,1.654
"AL","2008Q4",174088,134908,39180,0.2250591862,1.558,1.543
"AL","2009Q1",173553,135608,37945,0.2186341562,1.554,1.495
"AL","2009Q2",172968,135247,37720,0.21807763,1.548,1.487
"AL","2009Q3",172175,133973,38202,0.2218784125,1.541,1.506
"AL","2009Q4",171089,131942,39147,0.2288100855,1.532,1.543
"AL","2010Q1",169370,130606,38764,0.2288720543,1.516,1.526
"AL","2010Q2",167278,129900,37378,0.2234494406,1.497,1.471
"AL","2010Q3",165080,130937,34143,0.2068262277,1.478,1.345
"AL","2010Q4",163046,134877,28169,0.1727685952,1.460,1.110
"AL","2011Q1",161583,139701,21881,0.1354185015,1.446,0.864
"AL","2011Q2",161018,144747,16271,0.1010494231,1.441,0.643
"AL","2011Q3",161417,146212,15205,0.0941997702,1.445,0.601
"AL","2011Q4",162626,146227,16399,0.1008401323,1.456,0.649
"AL","2012Q1",164409,146245,18164,0.1104805905,1.472,0.719
"AL","2012Q2",166454,146265,20189,0.1212873135,1.490,0.800
"AL","2012Q3",168519,146289,22231,0.1319171321,1.509,0.882
"AL","2012Q4",170671,146315,24357,0.1427104882,1.528,0.967
"AL","2013Q1",172864,146343,26521,0.1534184563,1.547,1.054
"AK","1975Q1",52332,29171,23161,0.4425750002,0.344,0.322
"AK","1975Q2",55546,30453,25094,0.4517631264,0.366,0.355
"AK","1975Q3",58510,31854,26656,0.4555739955,0.385,0.384
"AK","1975Q4",61176,33294,27882,0.4557698942,0.403,0.407
"AK","1976Q1",63457,34648,28809,0.4539940471,0.418,0.427
"AK","1976Q2",65331,35867,29464,0.4510003814,0.430,0.441
"AK","1976Q3",66681,36963,29718,0.4456737184,0.439,0.449
"AK","1976Q4",67603,37910,29693,0.4392267236,0.445,0.451
"AK","1977Q1",68429,38519,29910,0.4370908224,0.450,0.453
"AK","1977Q2",69322,39262,30059,0.4336219995,0.456,0.457
"AK","1977Q3",70521,39992,30529,0.4329085393,0.464,0.466
"AK","1977Q4",72134,40751,31382,0.4350572923,0.475,0.481
"AK","1978Q1",74190,41757,32433,0.4371656024,0.488,0.501
"AK","1978Q2",76641,42776,33865,0.4418669957,0.504,0.526
"AK","1978Q3",79154,43946,35208,0.4448006863,0.521,0.549
"AK","1978Q4",81456,45321,36135,0.4436153463,0.536,0.565
"AK","1979Q1",83378,46711,36667,0.4397662764,0.549,0.574
"AK","1979Q2",84540,48208,36331,0.4297539742,0.556,0.570
"AK","1979Q3",84443,49540,34903,0.4133279202,0.556,0.549
"AK","1979Q4",83268,50484,32784,0.3937137087,0.548,0.516
"AK","1980Q1",81447,50784,30663,0.3764737192,0.536,0.482
"AK","1980Q2",79814,50858,28956,0.3627904386,0.525,0.457
"AK","1980Q3",80206,50823,29383,0.3663399868,0.528,0.466
"AK","1980Q4",83673,50925,32748,0.3913831241,0.551,0.522
"AK","1981Q1",89512,51501,38011,0.424646786,0.589,0.610
"AK","1981Q2",97167,52468,44700,0.4600273832,0.640,0.724
"AK","1981Q3",105324,53770,51553,0.4894768049,0.693,0.844
"AK","1981Q4",112984,55365,57619,0.5099730378,0.744,0.954
"AK","1982Q1",119352,57329,62024,0.5196688749,0.786,1.042
"AK","1982Q2",124236,59317,64918,0.5225422102,0.818,1.105
"AK","1982Q3",128004,61493,66510,0.5195987545,0.842,1.147
"AK","1982Q4",130748,63864,66884,0.5115510989,0.861,1.169
"AK","1983Q1",132906,66480,66426,0.4997957834,0.875,1.180
"AK","1983Q2",134932,68885,66047,0.4894831711,0.888,1.187
"AK","1983Q3",137000,71115,65885,0.4809119691,0.902,1.198
"AK","1983Q4",138933,73009,65924,0.4745015849,0.914,1.211
"AK","1984Q1",140569,74389,66180,0.4708017651,0.925,1.228
"AK","1984Q2",141642,75408,66234,0.4676175291,0.932,1.240
"AK","1984Q3",142119,76157,65962,0.4641308666,0.935,1.245
"AK","1984Q4",141877,76751,65126,0.4590321966,0.934,1.239
"AK","1985Q1",141108,77410,63698,0.4514147358,0.929,1.221
"AK","1985Q2",140207,78032,62175,0.4434501743,0.923,1.200
"AK","1985Q3",139244,78634,60610,0.4352792797,0.916,1.177
"AK","1985Q4",138153,79225,58928,0.4265426716,0.909,1.151
"AK","1986Q1",136885,79944,56942,0.415981038,0.901,1.120
"AK","1986Q2",135164,80469,54695,0.4046554923,0.890,1.080
"AK","1986Q3",132599,80931,51668,0.3896555373,0.873,1.022
"AK","1986Q4",129190,81330,47860,0.3704622908,0.850,0.948
"AK","1987Q1",125163,81408,43755,0.3495840895,0.824,0.861
"AK","1987Q2",121016,81765,39252,0.324350392,0.796,0.772
"AK","1987Q3",117600,82143,35458,0.3015110998,0.774,0.698
"AK","1987Q4",115738,82531,33207,0.2869131038,0.762,0.654
"AK","1988Q1",115764,82983,32781,0.2831726276,0.762,0.648
"AK","1988Q2",116617,83389,33228,0.2849289851,0.768,0.659
"AK","1988Q3",117388,83813,33575,0.2860187938,0.773,0.667
"AK","1988Q4",116848,84263,32585,0.2788662995,0.769,0.649
"AK","1989Q1",114426,84788,29638,0.2590168409,0.753,0.593
"AK","1989Q2",110811,85266,25545,0.2305259901,0.729,0.513
"AK","1989Q3",107853,85732,22121,0.2051040585,0.710,0.445
"AK","1989Q4",106541,86176,20365,0.1911453769,0.701,0.410
"AK","1990Q1",107338,86487,20851,0.1942552712,0.706,0.419
"AK","1990Q2",110159,86851,23308,0.2115880987,0.725,0.469
"AK","1990Q3",113469,87187,26282,0.2316215993,0.747,0.531
"AK","1990Q4",116688,87483,29204,0.2502763718,0.768,0.592
"AK","1991Q1",119472,87852,31619,0.2646604915,0.786,0.646
"AK","1991Q2",121573,88168,33405,0.2747746211,0.800,0.686
"AK","1991Q3",123041,88562,34479,0.2802204208,0.810,0.712
"AK","1991Q4",124025,89112,34913,0.2814974573,0.816,0.725
"AK","1992Q1",124706,89989,34718,0.2783948398,0.821,0.729
"AK","1992Q2",125247,90788,34459,0.2751310091,0.824,0.727
"AK","1992Q3",125754,91552,34202,0.271973993,0.828,0.724
"AK","1992Q4",126327,92177,34150,0.2703330243,0.831,0.724
"AK","1993Q1",127066,92469,34597,0.2722763629,0.836,0.731
"AK","1993Q2",128004,92782,35222,0.2751642118,0.842,0.745
"AK","1993Q3",129065,93099,35966,0.2786680937,0.849,0.761
"AK","1993Q4",130145,93522,36623,0.2814011335,0.857,0.775
"AK","1994Q1",131099,94109,36990,0.2821527463,0.863,0.783
"AK","1994Q2",131953,94857,37097,0.2811351841,0.868,0.786
"AK","1994Q3",132813,95654,37158,0.2797798039,0.874,0.788
"AK","1994Q4",133753,96419,37334,0.2791261397,0.880,0.792
"AK","1995Q1",134880,97070,37810,0.2803242008,0.888,0.805
"AK","1995Q2",136082,97576,38506,0.2829608473,0.896,0.821
"AK","1995Q3",137273,97999,39274,0.2861025684,0.903,0.838
"AK","1995Q4",138399,98359,40040,0.289305606,0.911,0.856
"AK","1996Q1",139434,98682,40752,0.2922697625,0.918,0.871
"AK","1996Q2",140313,99018,41295,0.2943068009,0.923,0.884
"AK","1996Q3",141114,99350,41764,0.2959580043,0.929,0.895
"AK","1996Q4",141908,99692,42216,0.2974891633,0.934,0.907
"AK","1997Q1",142609,100048,42561,0.2984445289,0.939,0.915
"AK","1997Q2",143267,100451,42816,0.2988560597,0.943,0.923
"AK","1997Q3",143960,100885,43075,0.2992125043,0.948,0.931
"AK","1997Q4",144741,101354,43387,0.2997586202,0.953,0.940
"AK","1998Q1",145638,101924,43714,0.3001553896,0.959,0.952
"AK","1998Q2",146647,102425,44223,0.3015573628,0.965,0.966
"AK","1998Q3",147651,102920,44731,0.3029493523,0.972,0.980
"AK","1998Q4",148550,103404,45146,0.3039118286,0.978,0.991
"AK","1999Q1",149240,103895,45345,0.303842423,0.982,0.998
"AK","1999Q2",149710,104368,45342,0.3028636181,0.985,0.999
"AK","1999Q3",150036,104853,45182,0.3011429315,0.987,0.997
"AK","1999Q4",150376,105369,45007,0.2992971678,0.990,0.994
"AK","2000Q1",150995,105829,45166,0.2991232528,0.994,0.994
"AK","2000Q2",151936,106572,45364,0.2985740913,1.000,1.000
"AK","2000Q3",153173,107481,45692,0.2983028975,1.008,1.009
"AK","2000Q4",154736,108588,46148,0.2982362576,1.018,1.023
"AK","2001Q1",156664,110027,46637,0.2976863157,1.031,1.041
"AK","2001Q2",158847,111431,47415,0.2984962592,1.045,1.062
"AK","2001Q3",161139,112884,48255,0.2994622021,1.061,1.084
"AK","2001Q4",163439,114321,49118,0.300525371,1.076,1.107
"AK","2002Q1",165712,115469,50243,0.3031946949,1.091,1.134
"AK","2002Q2",168051,116512,51538,0.3066824822,1.106,1.166
"AK","2002Q3",170479,117290,53189,0.311998551,1.122,1.207
"AK","2002Q4",172974,117697,55277,0.3195693596,1.138,1.258
"AK","2003Q1",175648,118060,57588,0.3278595781,1.156,1.314
"AK","2003Q2",178566,118401,60165,0.3369363262,1.175,1.377
"AK","2003Q3",181854,119204,62650,0.3445090102,1.197,1.438
"AK","2003Q4",185565,120943,64622,0.3482450746,1.221,1.488
"AK","2004Q1",189589,123856,65733,0.3467141384,1.248,1.518
"AK","2004Q2",193883,127564,66319,0.3420588682,1.276,1.536
"AK","2004Q3",198513,131520,66993,0.3374725308,1.307,1.555
"AK","2004Q4",203372,135147,68225,0.3354700114,1.339,1.587
"AK","2005Q1",208336,137763,70573,0.3387443535,1.371,1.644
"AK","2005Q2",213254,139841,73413,0.3442509915,1.404,1.714
"AK","2005Q3",217997,141679,76318,0.350087296,1.435,1.786
"AK","2005Q4",222350,143604,78746,0.3541531959,1.463,1.846
"AK","2006Q1",226205,145849,80356,0.3552359915,1.489,1.888
"AK","2006Q2",229457,148187,81270,0.3541839783,1.510,1.913
"AK","2006Q3",232018,150299,81718,0.3522074303,1.527,1.927
"AK","2006Q4",233911,151866,82046,0.3507561112,1.540,1.939
"AK","2007Q1",235143,152866,82276,0.3499003546,1.548,1.949
"AK","2007Q2",235638,153455,82183,0.3487697221,1.551,1.950
"AK","2007Q3",235356,154137,81219,0.3450900267,1.549,1.930
"AK","2007Q4",234590,155400,79190,0.3375674308,1.544,1.885
"AK","2008Q1",233714,157458,76256,0.3262784459,1.538,1.817
"AK","2008Q2",232999,160092,72906,0.3129050438,1.534,1.740
"AK","2008Q3",232164,162704,69460,0.2991829737,1.528,1.660
"AK","2008Q4",231039,164739,66299,0.2869617867,1.521,1.587
"AK","2009Q1",229395,165424,63971,0.2788677063,1.510,1.536
"AK","2009Q2",227421,165048,62373,0.2742606479,1.497,1.500
"AK","2009Q3",225820,163791,62029,0.2746846451,1.486,1.494
"AK","2009Q4",224994,161787,63207,0.2809271961,1.481,1.524
"AK","2010Q1",224952,160599,64352,0.2860722516,1.481,1.552
"AK","2010Q2",225511,160252,65259,0.2893817344,1.484,1.576
"AK","2010Q3",226294,162003,64291,0.2841056628,1.489,1.556
"AK","2010Q4",226970,167186,59784,0.2634002076,1.494,1.450
"AK","2011Q1",227516,173238,54278,0.2385681549,1.497,1.321
"AK","2011Q2",227743,179343,48400,0.2125212136,1.499,1.180
"AK","2011Q3",227642,180886,46755,0.2053905875,1.498,1.143
"AK","2011Q4",227390,181000,46390,0.2040127247,1.497,1.137
"AK","2012Q1",227293,181112,46181,0.2031780181,1.496,1.135
"AK","2012Q2",227962,181227,46735,0.2050108062,1.500,1.151
"AK","2012Q3",229033,181345,47688,0.2082128998,1.507,1.177
"AK","2012Q4",230396,181467,48929,0.212370352,1.516,1.211
"AK","2013Q1",231891,181592,50299,0.2169074141,1.526,1.248
"AZ","1975Q1",33346,26096,7250,0.2174145448,0.207,0.053
"AZ","1975Q2",33458,26406,7052,0.2107743558,0.208,0.052
"AZ","1975Q3",33551,26645,6906,0.2058448898,0.209,0.051
"AZ","1975Q4",33738,26863,6875,0.2037836826,0.210,0.051
"AZ","1976Q1",34138,27169,6969,0.2041407031,0.212,0.052
"AZ","1976Q2",34697,27505,7192,0.2072852828,0.216,0.054
"AZ","1976Q3",35284,27892,7392,0.2094886992,0.219,0.056
"AZ","1976Q4",35967,28346,7621,0.2119009454,0.224,0.058
"AZ","1977Q1",36837,28846,7990,0.2169079044,0.229,0.062
"AZ","1977Q2",37939,29410,8529,0.2248014078,0.236,0.066
"AZ","1977Q3",39330,30001,9329,0.2372046456,0.245,0.073
"AZ","1977Q4",41006,30589,10417,0.2540290395,0.255,0.082
"AZ","1978Q1",42955,31206,11749,0.2735192982,0.267,0.094
"AZ","1978Q2",45195,31853,13341,0.2951970905,0.281,0.108
"AZ","1978Q3",47699,32610,15088,0.316324268,0.297,0.123
"AZ","1978Q4",50350,33547,16803,0.3337249567,0.313,0.138
"AZ","1979Q1",53032,34727,18305,0.3451679794,0.330,0.152
"AZ","1979Q2",55612,36025,19587,0.3522086882,0.346,0.165
"AZ","1979Q3",57991,37387,20604,0.3553017595,0.361,0.175
"AZ","1979Q4",60143,38725,21418,0.3561112736,0.374,0.183
"AZ","1980Q1",62077,39872,22204,0.3576931213,0.386,0.191
"AZ","1980Q2",63902,40914,22987,0.359729048,0.397,0.199
"AZ","1980Q3",65710,41831,23879,0.3633965154,0.409,0.208
"AZ","1980Q4",67346,42611,24735,0.3672803952,0.419,0.217
"AZ","1981Q1",68756,43324,25433,0.3698958551,0.427,0.225
"AZ","1981Q2",69883,43978,25904,0.3706847205,0.434,0.231
"AZ","1981Q3",70605,44653,25952,0.3675637935,0.439,0.232
"AZ","1981Q4",70886,45431,25454,0.3590912188,0.441,0.229
"AZ","1982Q1",71100,46370,24730,0.3478140427,0.442,0.224
"AZ","1982Q2",71574,47396,24177,0.3377940849,0.445,0.220
"AZ","1982Q3",72324,48425,23898,0.3304379436,0.450,0.219
"AZ","1982Q4",73411,49364,24047,0.3275653557,0.456,0.221
"AZ","1983Q1",74685,49973,24712,0.3308888511,0.464,0.227
"AZ","1983Q2",75799,50479,25320,0.3340414597,0.471,0.234
"AZ","1983Q3",76723,50805,25917,0.3378064076,0.477,0.241
"AZ","1983Q4",77694,50940,26754,0.3443454266,0.483,0.250
"AZ","1984Q1",78874,51017,27857,0.3531891293,0.490,0.263
"AZ","1984Q2",80208,50956,29253,0.3647072081,0.499,0.278
"AZ","1984Q3",81552,50903,30648,0.3758157713,0.507,0.293
"AZ","1984Q4",82890,50972,31918,0.3850663093,0.515,0.308
"AZ","1985Q1",84299,51273,33025,0.3917663966,0.524,0.321
"AZ","1985Q2",85767,51705,34062,0.3971453462,0.533,0.333
"AZ","1985Q3",87324,52190,35134,0.4023401934,0.543,0.347
"AZ","1985Q4",88952,52640,36311,0.408213528,0.553,0.361
"AZ","1986Q1",90588,53044,37544,0.4144498588,0.563,0.376
"AZ","1986Q2",92107,53409,38699,0.420146339,0.573,0.391
"AZ","1986Q3",93363,53872,39492,0.4229891096,0.580,0.402
"AZ","1986Q4",94347,54550,39797,0.4218132945,0.587,0.408
"AZ","1987Q1",95099,55495,39604,0.4164545194,0.591,0.409
"AZ","1987Q2",95562,56599,38964,0.407729378,0.594,0.405
"AZ","1987Q3",95810,57715,38095,0.397606276,0.596,0.399
"AZ","1987Q4",95961,58684,37277,0.3884609479,0.597,0.393
"AZ","1988Q1",96146,59311,36834,0.3831108803,0.598,0.391
"AZ","1988Q2",96342,59726,36616,0.3800621955,0.599,0.391
"AZ","1988Q3",96505,60006,36499,0.3782089833,0.600,0.392
"AZ","1988Q4",96689,60236,36453,0.3770151172,0.601,0.393
"AZ","1989Q1",96917,60629,36287,0.3744193897,0.603,0.394
"AZ","1989Q2",97233,60979,36253,0.3728496895,0.605,0.396
"AZ","1989Q3",97624,61351,36273,0.3715555222,0.607,0.398
"AZ","1989Q4",98013,61749,36264,0.3699948895,0.609,0.399
"AZ","1990Q1",98405,62005,36400,0.369898814,0.612,0.400
"AZ","1990Q2",98834,62437,36398,0.3682679038,0.615,0.401
"AZ","1990Q3",99073,62871,36202,0.3654051557,0.616,0.400
"AZ","1990Q4",99406,63268,36138,0.3635376211,0.618,0.401
"AZ","1991Q1",99866,63631,36236,0.3628413832,0.621,0.404
"AZ","1991Q2",100396,63935,36461,0.363175132,0.624,0.409
"AZ","1991Q3",100986,64249,36737,0.3637804486,0.628,0.414
"AZ","1991Q4",101667,64622,37046,0.364382199,0.632,0.420
"AZ","1992Q1",102374,65211,37163,0.3630113107,0.637,0.426
"AZ","1992Q2",103104,65762,37342,0.3621763823,0.641,0.430
"AZ","1992Q3",103937,66353,37584,0.3616060481,0.646,0.435
"AZ","1992Q4",104905,66968,37937,0.3616331792,0.652,0.441
"AZ","1993Q1",106057,67442,38615,0.3640965614,0.659,0.449
"AZ","1993Q2",107421,68109,39313,0.3659667597,0.668,0.459
"AZ","1993Q3",109003,68830,40173,0.3685486497,0.678,0.472
"AZ","1993Q4",110775,69603,41172,0.3716719025,0.689,0.487
"AZ","1994Q1",112679,70416,42263,0.3750722459,0.701,0.503
"AZ","1994Q2",114668,71219,43450,0.3789158086,0.713,0.521
"AZ","1994Q3",116663,72009,44653,0.3827551517,0.725,0.540
"AZ","1994Q4",118621,72763,45859,0.3865965697,0.738,0.559
"AZ","1995Q1",120505,73663,46842,0.3887162105,0.749,0.578
"AZ","1995Q2",122310,74380,47929,0.3918680883,0.760,0.596
"AZ","1995Q3",124049,75141,48908,0.3942650053,0.771,0.613
"AZ","1995Q4",125699,76027,49672,0.3951665873,0.782,0.626
"AZ","1996Q1",127270,76927,50343,0.3955627028,0.791,0.637
"AZ","1996Q2",128745,78015,50730,0.3940340982,0.800,0.646
"AZ","1996Q3",130140,79042,51098,0.3926394989,0.809,0.655
"AZ","1996Q4",131497,79852,51645,0.3927435742,0.818,0.666
"AZ","1997Q1",132882,80365,52517,0.395216071,0.826,0.681
"AZ","1997Q2",134337,80685,53652,0.3993818675,0.835,0.700
"AZ","1997Q3",135890,80992,54898,0.4039882905,0.845,0.721
"AZ","1997Q4",137585,81468,56117,0.4078718609,0.855,0.742
"AZ","1998Q1",139463,82341,57122,0.4095835509,0.867,0.761
"AZ","1998Q2",141536,83370,58165,0.4109580894,0.880,0.780
"AZ","1998Q3",143745,84476,59270,0.412324656,0.894,0.799
"AZ","1998Q4",146049,85526,60523,0.4144019935,0.908,0.821
"AZ","1999Q1",148430,86341,62089,0.4183028866,0.923,0.847
"AZ","1999Q2",150862,87003,63859,0.4232930572,0.938,0.875
"AZ","1999Q3",153336,87555,65781,0.4290007935,0.953,0.906
"AZ","1999Q4",155826,88037,67790,0.4350339441,0.969,0.938
"AZ","2000Q1",158325,88443,69883,0.441386404,0.984,0.969
"AZ","2000Q2",160836,89110,71726,0.4459577942,1.000,1.000
"AZ","2000Q3",163395,89963,73432,0.4494119165,1.016,1.030
"AZ","2000Q4",166033,91078,74954,0.4514429914,1.032,1.057
"AZ","2001Q1",168724,92652,76072,0.4508665216,1.049,1.084
